Identifier,SMILES
NPBS000001,O=C1C(OC2OC(CO)C(O)C(O)C2OC3OC(CO)C(O)C(O)C3OC4OC(CO)C(O)C(O)C4O)=C(OC=5C=C(O)C=C(O)C15)C=6C=CC(O)=C(O)C6
NPBS000002,O=C1C(OC2OCC(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4
NPBS000003,O=C(O)CC(O)(C)CC(=O)OCC1OC(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=C(O)C4)C(O)C(O)C1O
NPBS000004,O=C1C(OC2OC(C)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4
NPBS000005,O=C1C(OC2OC(C)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)=C(OC=4C=C(O)C=C(O)C14)C=5C=CC(O)=C(O)C5
NPBS000006,O=C(OCC1OC(OC2C(O)C(O)C(OC2OC3C(O)C(O)C(OC3OC=4C(=O)C=5C(O)=CC(O)=CC5OC4C=6C=CC(O)=C(O)C6)CO)CO)C(O)C(O)C1O)C=CC7=CC=C(O)C(OC)=C7
NPBS000007,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC=4C=C(O)C=C(O)C14)C=5C=CC(OC)=C(O)C5
NPBS000008,O=C(OC)C1=C2NC=3C=CC=CC3C24CCN5CC(C(O)C)C1CC54
NPBS000009,O=C(O)C1OC(OC2=CC(O)=C3C(=O)C=C(OC3=C2)C=4C=CC(OC5OC(C)C(O)C(O)C5O)=C(O)C4)C(O)C(O)C1O
NPBS000010,O=C1C(O)=C(C(=O)C(O)=C1C=2C=CC=CC2)C=3C=CC=CC3
NPBS000011,O=C(C1=C(O)C=C(OC)C=C1OC2OC(CO)C(O)C(O)C2O)CCC3=CC=C(O)C=C3
NPBS000012,O(C1=CC=C2C(OCC3C4=CC=5OCOC5C=C4OC23)=C1)C
NPBS000013,O(C1=CC=C2C(OCC3C4=CC=C(OC)C=C4OC23)=C1)C
NPBS000014,OC=1C=C(OC)C(OC2OC(CO)C(O)C(O)C2O)=C(OC)C1
NPBS000015,OCC1(O)COC(OCC2OC(OC=3C=C(OC)C(OC)=C(OC)C3)C(O)C(O)C2O)C1O
NPBS000016,O=C1NCCCNCCCCNCCCNC(C1)CCCCCCCCC
NPBS000017,O=C(OC1C2C3CC1(O)C(OC)C(O)C2(OC(=O)C)C4C(OC)C5C6(COC)CN(CC)C4C35C(OC)CC6O)C=7C=CC=CC7
NPBS000018,O=C(OC1C2C3CC1(O)C(OC)CC2(OC(=O)C)C4C(OC)C5C6(COC)CN(CC)C4C35C(OC)CC6O)C7=CC=C(OC)C(OC)=C7
NPBS000019,OC=1C=C(OC2OC(CO)C(O)C(O)C2O)C=C(C=CC3=CC=C(OC)C(O)=C3)C1
NPBS000020,O=C1C=CC=C2C1=NC=3C=CC=CC3N2C
NPBS000021,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC=4C=C(O)C=C(O)C14)C=5C=CC(O)=C(O)C5
NPBS000022,O(C1=CC=[N+](C=2C=CC=CC12)C)C
NPBS000023,O=C1C=C(OC2=CC(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3O)=CC(O)=C12)C=5C=CC(O)=C(O)C5
NPBS000024,O=C1OCC(CC2=CN=CN2C)C1CC
NPBS000025,O=C(O)C1OC(OC2=CC(O)=C3C(=O)C=C(OC3=C2)C=4C=CC(O)=CC4)C(O)C(O)C1O
NPBS000026,O=C1C=C(OC2=CC(OC3OC(CO)C(O)C(O)C3OC4OC(CO)C(O)C(O)C4O)=CC(O)=C12)C=5C=CC(O)=C(O)C5
NPBS000027,O=C1C=C(OC2=CC(OC3OC(CO)C(O)C(O)C3O)=CC(O)=C12)C=4C=CC(O)=C(OC)C4
NPBS000028,O=C1C(O)=C(OC2=CC(OC3OC(C)C(O)C(O)C3O)=CC(O)=C12)C=4C=CC(OC5OC(CO)C(O)C(O)C5O)=CC4
NPBS000029,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(OC5OC(CO)C(O)C(O)C5O)=CC4
NPBS000030,O=C(OC1C2C3CC1(O)C(OC)CC2(OC(=O)C)C4C(OC)C5C6(COC)CN(CC)C4C35C(OC)CC6)C=7C=CC=CC7
